title,description,category,organization,location,time_commitment,latitude,longitude,tags,image_url,source_url,starts_at,ends_at,is_active
INFOSEL ULIS - VDSD 2025,Accompagnement de personnes en transition professionnelle à partir d’activités liées au numérique dans un objectif d’insertion sociale et professionnelle.,benevolat,INFOSEL ULIS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
JEUNESSE EN ACTION - LA FORCE POUR LE CHANGEMENT - VDSD 2025,"Divertir et réjouir les jeunes, transformer leur potentiel en pouvoir, partager leurs passions et talents, les impliquer dans l'organisation et la réalisation de projets.",benevolat,JEUNESSE EN ACTION - LA FORCE POUR LE CHANGEMENT,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
JIMILY - VDSD 2025,Box anniversaire prêtes à l’emploi pour organiser facilement l'anniversaire de votre enfant. Tout est inclus ! Pour les enfants de 4 à 11 ans.,benevolat,JIMILY,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA BATELIERE COOPERATIVE FUNERAIRE - VDSD 2025,"Pompes funèbres citoyennes, écologiques et solidaires.",benevolat,LA BATELIERE COOPERATIVE FUNERAIRE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA COMPAGNIE DES ÂNES - VDSD 2025,Structure d'éducation à l'environnement qui propose un accueil pour les personnes les plus empêchées ou éloignées de la vie sociale.,benevolat,LA COMPAGNIE DES ÂNES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA FABRIQUE - VDSD 2025,"Entreprise à but d’emploi proposant des activités de maraîchage, miellerie, travaux forestiers, travaux du bâtiment et recyclerie.",benevolat,LA FABRIQUE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA FABRIQUE DES POSSIBLES - VDSD 2025,"Tiers-lieu situé à Vandœuvre-lès-Nancy, œuvrant pour un numérique accessible à tous et solidaire (mais pas que !).",benevolat,LA FABRIQUE DES POSSIBLES,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA FERME DE LA FAISANDERIE - VDSD 2025,"Atelier, chantier d'insertion / maraichage bio, élevage de volailles fermières, abattage et transformation, restauration, service en salle, vente directe en boutique.",benevolat,LA FERME DE LA FAISANDERIE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA GRANGE MOTOR'S - VDSD 2025,"Garage associatif et participatif et réparation de téléphones mobiles, ordinateurs, tablettes.",benevolat,LA GRANGE MOTOR'S,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA MAISON DES HIBISCUS - VDSD 2025,"Être chez soi sans être seul, vivre ensemble (12 habitants) comme une famille !",benevolat,LA MAISON DES HIBISCUS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA PERLE DES FOINS - VDSD 2025,Foin bio issu des prairies naturelles de Lorraine pour rongeurs.,benevolat,LA PERLE DES FOINS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA PULPERIE® - VDSD 2025,"Transforme les déchets papiers et organiques en objets utiles, grâce au design et à des ateliers éco-créatifs.",benevolat,LA PULPERIE®,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LA RECYCLERIE SUR L'EAU - VDSD 2025,"Collecte des dons de particuliers ou d'entreprises, qui sont triés pour leur redonner une nouvelle jeunesse et vendus à prix mini.",benevolat,LA RECYCLERIE SUR L'EAU,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
"L'ARBRE DE VIE, MICRO-FERME CREATIVE - VDSD 2025","Tiers-lieu coopératif réunissant du maraîchage biologique, une ferme pédagogique, un magasin de producteurs et des animations destinées au grand public.",benevolat,"L'ARBRE DE VIE, MICRO-FERME CREATIVE","Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LE FLORAIN - VDSD 2025,"Monnaie locale complémentaire et citoyenne dont le but est d’orienter la consommation des habitants du territoire vers des producteurs, commerçants de proximité engagés.",benevolat,LE FLORAIN,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LE TRUCK A SONS - VDSD 2025,"Musicothèque itinérante favorisant le lien social par l’écoute, le jeu sonore et des expériences musicales inclusives.",benevolat,LE TRUCK A SONS,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
"L'EQUINOXE, ACCUEIL DE REPIT - VDSD 2025","Guidance parentale, accompagnement éducatif et accueil de répit.",benevolat,"L'EQUINOXE, ACCUEIL DE REPIT","Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
LES COUSETTES DE NINIE - VDSD 2025,Création textile zéro déchet pour la transition écologique.,benevolat,LES COUSETTES DE NINIE,"Nancy, 54000",,48.6921,6.1844,VDSD 2025,https://images.unsplash.com/photo-1559027615-cd4628902d4a?w=1200&q=80,,,,0
